Depth,PERMEABILITY,POROSITY,G1,PD1,G2,PD2,BV1,BV2,Mode,PRT,ROCK_INDEX,DATA_SOURCE
67,1014,0.2932,0.48,3.1,0.08,245,26.99,2.33,39.88,M_1,1,Rosetta
68,540.3027,0.2122,0.45,3.1,0.08,240,17.75,3.47,41.14,M_1,1,Rosetta
69,203,0.2635,1.12,3.14,0.1,200,24.39,1.96,18.78,M_1,1,Rosetta
70,70.099,0.19046,0.28,3.2,0.32,117.49,14.97,4.07,48.46,M_1,1,Rosetta
71,341.0453,0.266,0.69,3.26,0.13,170,22.65,3.95,29.65,M_1,1,Rosetta
72,50.641,0.24402,0.86,3.3,0.33,850,21.95,2.45,24.06,M_2,2,Rosetta
73,352.4961,0.22574,0.32,3.35,0.35,210,13.84,8.74,44.23,M_1,1,Rosetta
74,812.0477,0.28528,0.44,3.39,0.43,130,24.66,3.87,38.24,M_1,1,Rosetta
75,218.3606,0.24049,0.62,3.4,0.33,169,19.2,4.85,30.9,M_1,1,Rosetta
76,79.9651,0.23861,0.57,3.4,0.1,145,11.53,12.33,32.68,M_1,1,Rosetta
77,39.3798,0.20289,0.93,3.4,0.2,290,14.4,5.89,21.6,M_1,1,Rosetta
78,246.9002,0.28408,0.69,3.43,0.09,145,24.07,4.34,28.36,M_1,1,Rosetta
79,141.8641,0.28165,0.21,3.43,0.18,130,23.5,4.66,48.79,M_1,1,Rosetta
80,195,0.2109,0.58,3.5,0.34,160,15.13,5.96,31.38,M_1,1,Rosetta
81,665.0316,0.28621,0.37,3.51,0.12,175,21.33,7.29,39.79,M_1,1,Rosetta
82,311.2749,0.20421,0.41,3.55,0.12,180,15.02,5.4,37.58,M_1,1,Rosetta
83,421,0.2375,0.48,3.59,0.2,200,20.86,2.89,34.28,M_1,1,Rosetta
84,705.14185,0.14958,0.16,3.6,0.2,3300,12.75,2.2,49.45,M_3,2,Rosetta
85,6.1703,0.18262,0.4,3.6,0.1,84.73,4.1,14.16,37.53,M_1,1,Rosetta
86,371.1871,0.23317,0.35,3.63,1.05,21,12.89,10.42,39.46,M_M,1,Rosetta
87,189,0.21765,0.78,3.71,0.13,250,18.57,3.19,23.53,M_1,1,Rosetta
88,1272.776,0.16129,0.1,3.8,0.25,2500,12.78,3.35,50.2,M_3,2,Rosetta
89,216.9412,0.27765,1.1,3.8,0.06,170,17.1,10.66,15.89,M_1,1,Rosetta
90,83.59208,0.14645,0.62,3.83,0.18,2331.61,12.37,2.27,27.41,M_2,2,Rosetta
91,903,0.28101,0.3,3.83,0.3,120,21.49,6.61,39.49,M_1,1,Rosetta
92,395.528,0.24966,0.76,3.84,0.08,280,23.67,1.3,23.27,M_1,1,Rosetta
93,9.71398,0.15558,0.9,3.85,0.09,850,13.36,2.2,19.75,M_2,2,Rosetta
